target_id,condition,repetition,selected_record_run_id,terminal_reason,step_count,invalid_action_count,failure_category,failure_subcategory,first_irreversible_step,first_irreversible_action,ingredient,observed_operation,expected_next_operation
cookingworld:test:53329,D,1,p8-t0296-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53944,N,1,p8-t0390-arm_3-r01,environment_done,14,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,14,eat carrot,carrot,,
cookingworld:test:53710,N,1,p8-t0206-arm_3-r01,environment_done,8,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,8,eat block of cheese,block of cheese,,
cookingworld:test:52346,H,1,p8-t0169-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:52724,D,1,p8-t0052-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:52774,N,1,p8-t0258-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:52195,R,1,p8-t0095-arm_4-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53271,N,1,p8-t0038-arm_3-r01,environment_done,14,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,14,eat cilantro,cilantro,,
cookingworld:test:52640,R,1,p8-t0307-arm_4-r01,environment_done,10,0,operation_to_ingredient_error,operation_allocated_to_wrong_ingredient_role,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52806,N,1,p8-t0030-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53186,H,1,p8-t0437-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:52264,R,1,p8-t0387-arm_4-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook block of cheese in barbeque,block of cheese,grill,roast
cookingworld:test:53825,H,1,p8-t0457-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53872,H,1,p8-t0561-arm_2-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:52613,D,1,p8-t0004-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53210,D,1,p8-t0268-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53396,H,1,p8-t0173-arm_2-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:52255,N,1,p8-t0210-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook purple potato in stove,purple potato,fry,grill
cookingworld:test:52534,N,1,p8-t0510-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:53643,D,1,p8-t0398-arm_1-r01,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook block of cheese in barbeque,block of cheese,grill,fry
cookingworld:test:53595,R,1,p8-t0669-arm_4-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red onion in stove,red onion,fry,grill
cookingworld:test:53487,N,1,p8-t0036-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52003,H,1,p8-t0239-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:52615,R,1,p8-t0373-arm_4-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52210,H,1,p8-t0263-arm_2-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:52557,N,1,p8-t0316-arm_3-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52331,H,1,p8-t0391-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52064,D,1,p8-t0502-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52854,N,1,p8-t0024-arm_3-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook red onion in stove,red onion,fry,grill
cookingworld:test:52217,D,1,p8-t0470-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52197,D,1,p8-t0650-arm_1-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:52937,H,1,p8-t0539-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53005,H,1,p8-t0015-arm_2-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:53782,N,1,p8-t0428-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53312,D,1,p8-t0230-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53644,D,1,p8-t0010-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:53123,N,1,p8-t0260-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53008,N,1,p8-t0520-arm_3-r01,max_steps,50,1,navigation_or_step_limit_failure,step_limit_without_irreversible_recipe_error,,,,,
cookingworld:test:52707,H,1,p8-t0547-arm_2-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:52808,H,1,p8-t0043-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:52723,N,1,p8-t0552-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52145,H,1,p8-t0227-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53555,D,1,p8-t0026-arm_1-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:53468,H,1,p8-t0055-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red hot pepper in oven,red hot pepper,roast,grill
cookingworld:test:53825,R,1,p8-t0457-arm_4-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:52815,H,1,p8-t0091-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53394,D,1,p8-t0566-arm_1-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53856,D,1,p8-t0314-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:53406,D,1,p8-t0066-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52818,N,1,p8-t0040-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook white onion in stove,white onion,fry,grill
cookingworld:test:52258,H,1,p8-t0455-arm_2-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:53093,N,1,p8-t0240-arm_3-r01,max_steps,50,0,navigation_or_step_limit_failure,step_limit_without_irreversible_recipe_error,,,,,
cookingworld:test:53995,N,1,p8-t0160-arm_3-r01,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook red potato in oven,red potato,roast,grill
cookingworld:test:53326,H,1,p8-t0595-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:52312,D,1,p8-t0298-arm_1-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53539,N,1,p8-t0600-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook carrot in stove,carrot,fry,grill
cookingworld:test:52385,N,1,p8-t0372-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53614,N,1,p8-t0148-arm_3-r01,environment_done,16,1,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,16,eat yellow bell pepper,yellow bell pepper,,
cookingworld:test:52264,H,1,p8-t0387-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook carrot in stove,carrot,fry,dice
cookingworld:test:52894,H,1,p8-t0199-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook banana in barbeque,banana,grill,fry
cookingworld:test:53792,N,1,p8-t0204-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52493,H,1,p8-t0235-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:53508,N,1,p8-t0488-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,15,chop yellow bell pepper,yellow bell pepper,chop,
cookingworld:test:53210,N,1,p8-t0268-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52129,N,1,p8-t0188-arm_3-r01,environment_done,7,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,7,eat block of cheese,block of cheese,,
cookingworld:test:52226,N,1,p8-t0508-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52450,R,1,p8-t0501-arm_4-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:52794,N,1,p8-t0432-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:53440,H,1,p8-t0143-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53617,H,1,p8-t0647-arm_2-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53579,N,1,p8-t0140-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:53585,H,1,p8-t0139-arm_2-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red onion in oven,red onion,roast,grill
cookingworld:test:52338,N,1,p8-t0504-arm_3-r01,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook purple potato in stove,purple potato,fry,grill
cookingworld:test:53329,N,1,p8-t0296-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53257,D,1,p8-t0286-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook banana in barbeque,banana,grill,fry
cookingworld:test:52848,R,1,p8-t0213-arm_4-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:53288,H,1,p8-t0663-arm_2-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:53300,N,1,p8-t0100-arm_3-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook orange bell pepper in stove,orange bell pepper,fry,dice
cookingworld:test:53789,R,1,p8-t0469-arm_4-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook carrot in oven,carrot,roast,grill
cookingworld:test:53260,R,1,p8-t0545-arm_4-r01,environment_done,19,0,operation_to_ingredient_error,wrong_operation_for_ingredient,19,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53315,N,1,p8-t0328-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:52928,H,1,p8-t0375-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52659,N,1,p8-t0608-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53187,R,1,p8-t0021-arm_4-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:53671,N,1,p8-t0408-arm_3-r01,environment_done,17,0,operation_to_ingredient_error,wrong_operation_for_ingredient,17,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:53990,N,1,p8-t0580-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53991,R,1,p8-t0293-arm_4-r01,max_steps,50,0,navigation_or_step_limit_failure,step_limit_without_irreversible_recipe_error,,,,,
cookingworld:test:53771,N,1,p8-t0480-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook red onion in stove,red onion,fry,grill
cookingworld:test:52837,R,1,p8-t0337-arm_4-r01,environment_done,17,0,operation_to_ingredient_error,wrong_operation_for_ingredient,17,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:52223,N,1,p8-t0256-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook banana in barbeque,banana,grill,fry
cookingworld:test:53544,N,1,p8-t0252-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52859,D,1,p8-t0246-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53179,N,1,p8-t0636-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:53377,N,1,p8-t0396-arm_3-r01,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53112,R,1,p8-t0309-arm_4-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52276,N,1,p8-t0168-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:52839,H,1,p8-t0047-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52593,N,1,p8-t0176-arm_3-r01,environment_done,3,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,3,eat red apple,red apple,,
cookingworld:test:53778,N,1,p8-t0236-arm_3-r01,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook red hot pepper in oven,red hot pepper,roast,grill
cookingworld:test:53124,D,1,p8-t0574-arm_1-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:53928,H,1,p8-t0403-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:53317,N,1,p8-t0344-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:52638,D,1,p8-t0622-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:52560,N,1,p8-t0524-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,9,cook red hot pepper in barbeque,red hot pepper,grill,
cookingworld:test:52267,N,1,p8-t0208-arm_3-r01,environment_done,7,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,7,eat orange bell pepper,orange bell pepper,,
cookingworld:test:52473,N,1,p8-t0132-arm_3-r01,environment_done,6,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,6,eat block of cheese,block of cheese,,
cookingworld:test:53089,D,1,p8-t0354-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:52846,N,1,p8-t0044-arm_3-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:52965,H,1,p8-t0039-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook carrot in oven,carrot,roast,grill
cookingworld:test:53450,D,1,p8-t0546-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:53501,H,1,p8-t0651-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:53351,R,1,p8-t0565-arm_4-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook yellow bell pepper in stove,yellow bell pepper,fry,chop
cookingworld:test:52380,N,1,p8-t0360-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:52556,R,1,p8-t0037-arm_4-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:53447,R,1,p8-t0049-arm_4-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook white onion in stove,white onion,fry,grill
cookingworld:test:53427,R,1,p8-t0209-arm_4-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:53522,N,1,p8-t0340-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook white onion in stove,white onion,fry,grill
cookingworld:test:53786,D,1,p8-t0006-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:52728,N,1,p8-t0484-arm_3-r01,environment_done,3,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,3,eat red apple,red apple,,
cookingworld:test:52890,D,1,p8-t0350-arm_1-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53132,D,1,p8-t0506-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:52745,N,1,p8-t0368-arm_3-r01,environment_done,8,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,8,eat block of cheese,block of cheese,,
cookingworld:test:52601,H,1,p8-t0079-arm_2-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red potato in oven,red potato,roast,grill
cookingworld:test:52342,N,1,p8-t0388-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52457,N,1,p8-t0076-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:52195,H,1,p8-t0095-arm_2-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53722,N,1,p8-t0512-arm_3-r01,environment_done,7,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,7,eat block of cheese,block of cheese,,
cookingworld:test:53405,R,1,p8-t0285-arm_4-r01,environment_done,13,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,13,eat block of cheese,block of cheese,,
cookingworld:test:52578,N,1,p8-t0492-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52674,D,1,p8-t0118-arm_1-r01,environment_done,4,0,operation_to_ingredient_error,wrong_operation_for_ingredient,4,cook red apple in oven,red apple,roast,grill
cookingworld:test:52671,R,1,p8-t0313-arm_4-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:52571,D,1,p8-t0542-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52893,R,1,p8-t0221-arm_4-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook red apple in stove,red apple,fry,grill
cookingworld:test:52079,H,1,p8-t0523-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:53993,R,1,p8-t0233-arm_4-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:53845,N,1,p8-t0456-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52773,R,1,p8-t0377-arm_4-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53872,R,1,p8-t0561-arm_4-r01,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53628,N,1,p8-t0476-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in oven,red apple,roast,grill
cookingworld:test:52960,N,1,p8-t0064-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52030,N,1,p8-t0468-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52730,D,1,p8-t0034-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:53497,N,1,p8-t0548-arm_3-r01,environment_done,26,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,26,eat red hot pepper,red hot pepper,,
cookingworld:test:52119,N,1,p8-t0392-arm_3-r01,environment_done,17,1,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,17,eat white onion,white onion,,
cookingworld:test:52738,H,1,p8-t0323-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:52368,R,1,p8-t0365-arm_4-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:53324,N,1,p8-t0596-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook banana in barbeque,banana,grill,fry
cookingworld:test:53240,H,1,p8-t0051-arm_2-r01,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53734,H,1,p8-t0171-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:52899,D,1,p8-t0514-arm_1-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook yellow bell pepper in oven,yellow bell pepper,roast,grill
cookingworld:test:52389,D,1,p8-t0254-arm_1-r01,environment_done,18,0,operation_to_ingredient_error,wrong_operation_for_ingredient,18,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:53851,N,1,p8-t0092-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red onion in barbeque,red onion,grill,slice
cookingworld:test:52547,N,1,p8-t0220-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:53454,H,1,p8-t0383-arm_2-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52424,N,1,p8-t0412-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red potato in barbeque,red potato,grill,roast
