target_id,condition,repetition,record_run_id,terminal_reason,step_count,invalid_action_count,failure_category,failure_subcategory,first_irreversible_step,first_irreversible_action,ingredient,observed_operation,expected_next_operation
cookingworld:test:52989,N2,1,sup-t0113-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:52681,N2,1,sup-t0179-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:52671,R2,2,sup-t0313-arm_2-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:53835,N2,2,sup-t0131-arm_3-r02,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook white onion in stove,white onion,fry,grill
cookingworld:test:52893,R2,2,sup-t0221-arm_2-r02,environment_done,6,0,operation_to_ingredient_error,wrong_operation_for_ingredient,6,cook red apple in stove,red apple,fry,grill
cookingworld:test:53690,R2,2,sup-t0485-arm_2-r02,environment_done,19,0,operation_to_ingredient_error,wrong_operation_for_ingredient,19,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:53845,N2,1,sup-t0456-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53315,N2,1,sup-t0328-arm_3-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:54104,R2,1,sup-t0780-arm_2-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53299,P,2,sup-t0451-arm_1-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52064,R2,2,sup-t0502-arm_2-r02,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52818,N2,2,sup-t0040-arm_3-r02,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook white onion in stove,white onion,fry,grill
cookingworld:test:53123,N2,2,sup-t0260-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53288,P,2,sup-t0663-arm_1-r02,environment_done,14,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,14,eat white onion,white onion,,
cookingworld:test:52148,N2,1,sup-t0495-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red potato in stove,red potato,fry,grill
cookingworld:test:54009,R2,1,sup-t0685-arm_2-r01,environment_done,18,0,operation_to_ingredient_error,wrong_operation_for_ingredient,18,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:52927,P,2,sup-t0237-arm_1-r02,environment_done,44,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,44,eat block of cheese,block of cheese,,
cookingworld:test:52380,N2,2,sup-t0360-arm_3-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook orange bell pepper in oven,orange bell pepper,roast,grill
cookingworld:test:52195,N2,2,sup-t0095-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:54085,R2,2,sup-t0761-arm_2-r02,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53173,N2,1,sup-t0623-arm_3-r01,environment_done,10,1,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52184,P,2,sup-t0319-arm_1-r02,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52004,N2,1,sup-t0642-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:52080,R2,1,sup-t0584-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:53365,N2,1,sup-t0279-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52928,N2,1,sup-t0375-arm_3-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53191,N2,1,sup-t0675-arm_3-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:52210,P,1,sup-t0263-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:53210,P,2,sup-t0268-arm_1-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53841,N2,1,sup-t0162-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook white onion in oven,white onion,roast,grill
cookingworld:test:54066,N2,2,sup-t0742-arm_3-r02,environment_done,3,0,operation_to_ingredient_error,wrong_operation_for_ingredient,3,cook red hot pepper in stove,red hot pepper,fry,grill
cookingworld:test:54101,R2,2,sup-t0777-arm_2-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53710,N2,1,sup-t0206-arm_3-r01,environment_done,7,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,7,eat block of cheese,block of cheese,,
cookingworld:test:52328,R2,2,sup-t0103-arm_2-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53940,R2,2,sup-t0535-arm_2-r02,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook block of cheese in barbeque,block of cheese,grill,fry
cookingworld:test:53099,P,1,sup-t0505-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook banana in barbeque,banana,grill,fry
cookingworld:test:53405,R2,1,sup-t0285-arm_2-r01,environment_done,10,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,10,eat block of cheese,block of cheese,,
cookingworld:test:53377,P,2,sup-t0396-arm_1-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53499,P,2,sup-t0534-arm_1-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red potato in stove,red potato,fry,grill
cookingworld:test:52209,R2,2,sup-t0088-arm_2-r02,max_steps,50,0,navigation_or_step_limit_failure,step_limit_without_irreversible_recipe_error,,,,,
cookingworld:test:52004,P,1,sup-t0642-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53384,R2,1,sup-t0603-arm_2-r01,environment_done,16,0,operation_to_ingredient_error,wrong_operation_for_ingredient,16,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:52917,R2,2,sup-t0231-arm_2-r02,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook carrot in stove,carrot,fry,grill
cookingworld:test:53186,P,2,sup-t0437-arm_1-r02,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:52854,P,2,sup-t0024-arm_1-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red onion in oven,red onion,roast,grill
cookingworld:test:52578,N2,2,sup-t0492-arm_3-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53227,P,2,sup-t0014-arm_1-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53500,N2,1,sup-t0364-arm_3-r01,environment_done,9,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,9,eat block of cheese,block of cheese,,
cookingworld:test:54087,P,1,sup-t0763-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53800,R2,2,sup-t0063-arm_2-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:54060,N2,1,sup-t0736-arm_3-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:53210,R2,2,sup-t0268-arm_2-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52207,P,2,sup-t0588-arm_1-r02,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:52890,P,2,sup-t0350-arm_1-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52603,R2,2,sup-t0424-arm_2-r02,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:52808,R2,1,sup-t0043-arm_2-r01,environment_done,17,0,operation_to_ingredient_error,wrong_operation_for_ingredient,17,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:54087,N2,2,sup-t0763-arm_3-r02,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52052,R2,1,sup-t0343-arm_2-r01,environment_done,18,0,operation_to_ingredient_error,wrong_operation_for_ingredient,18,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:54002,N2,2,sup-t0678-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook red potato in stove,red potato,fry,grill
cookingworld:test:52674,N2,2,sup-t0118-arm_3-r02,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook red apple in stove,red apple,fry,grill
cookingworld:test:53825,R2,2,sup-t0457-arm_2-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53208,R2,1,sup-t0215-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook block of cheese in barbeque,block of cheese,grill,fry
cookingworld:test:53845,N2,2,sup-t0456-arm_3-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53210,P,1,sup-t0268-arm_1-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52464,N2,2,sup-t0536-arm_3-r02,environment_done,20,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,20,eat block of cheese,block of cheese,,
cookingworld:test:53458,N2,2,sup-t0189-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook carrot in stove,carrot,fry,grill
cookingworld:test:54011,N2,1,sup-t0687-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52571,P,2,sup-t0542-arm_1-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53782,N2,1,sup-t0428-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53102,N2,1,sup-t0058-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:53349,N2,1,sup-t0137-arm_3-r01,environment_done,9,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,9,eat block of cheese,block of cheese,,
cookingworld:test:52373,N2,2,sup-t0434-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,9,cook white onion in barbeque,white onion,grill,
cookingworld:test:52342,N2,2,sup-t0388-arm_3-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52581,P,1,sup-t0205-arm_1-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red hot pepper in barbeque,red hot pepper,grill,fry
cookingworld:test:53388,N2,2,sup-t0163-arm_3-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:52217,P,1,sup-t0470-arm_1-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:52937,P,1,sup-t0539-arm_1-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:54067,N2,1,sup-t0743-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,11,chop white onion,white onion,chop,
cookingworld:test:53420,P,1,sup-t0335-arm_1-r01,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:53257,P,2,sup-t0286-arm_1-r02,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook banana in barbeque,banana,grill,fry
cookingworld:test:53187,P,2,sup-t0021-arm_1-r02,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:53005,N2,1,sup-t0015-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:53796,N2,2,sup-t0193-arm_3-r02,environment_done,9,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,9,eat block of cheese,block of cheese,,
cookingworld:test:53800,R2,1,sup-t0063-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:52481,P,2,sup-t0401-arm_1-r02,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook chicken wing in barbeque,chicken wing,grill,fry
cookingworld:test:52328,N2,2,sup-t0103-arm_3-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53405,R2,2,sup-t0285-arm_2-r02,environment_done,11,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,11,eat block of cheese,block of cheese,,
cookingworld:test:52893,P,2,sup-t0221-arm_1-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red apple in stove,red apple,fry,grill
cookingworld:test:53522,P,1,sup-t0340-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook white onion in stove,white onion,fry,grill
cookingworld:test:52389,R2,1,sup-t0254-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook orange bell pepper in barbeque,orange bell pepper,grill,fry
cookingworld:test:54104,N2,2,sup-t0780-arm_3-r02,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52171,N2,1,sup-t0061-arm_3-r01,environment_done,12,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,12,eat carrot,carrot,,
cookingworld:test:53293,N2,1,sup-t0646-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52246,N2,2,sup-t0579-arm_3-r02,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:53753,R2,1,sup-t0515-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook carrot in oven,carrot,roast,grill
cookingworld:test:53501,P,1,sup-t0651-arm_1-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red apple in barbeque,red apple,grill,roast
cookingworld:test:53447,R2,1,sup-t0049-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook white onion in stove,white onion,fry,grill
cookingworld:test:52081,R2,2,sup-t0664-arm_2-r02,environment_done,19,0,operation_to_ingredient_error,wrong_operation_for_ingredient,19,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:52613,R2,1,sup-t0004-arm_2-r01,environment_done,13,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,13,dice banana,banana,dice,
cookingworld:test:52773,R2,2,sup-t0377-arm_2-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:53288,N2,2,sup-t0663-arm_3-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook white onion in barbeque,white onion,grill,fry
cookingworld:test:53595,N2,1,sup-t0669-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook red onion in stove,red onion,fry,grill
cookingworld:test:52894,P,1,sup-t0199-arm_1-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook banana in barbeque,banana,grill,fry
cookingworld:test:52431,R2,2,sup-t0302-arm_2-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52584,N2,1,sup-t0593-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:53792,N2,1,sup-t0204-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52450,R2,1,sup-t0501-arm_2-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:52223,N2,1,sup-t0256-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook banana in barbeque,banana,grill,fry
cookingworld:test:53357,N2,1,sup-t0399-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,13,cook yellow bell pepper in barbeque,yellow bell pepper,grill,
cookingworld:test:53271,N2,1,sup-t0038-arm_3-r01,environment_done,16,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,16,eat cilantro,cilantro,,
cookingworld:test:53577,N2,1,sup-t0461-arm_3-r01,environment_done,5,0,operation_to_ingredient_error,wrong_operation_for_ingredient,5,cook red hot pepper in oven,red hot pepper,roast,grill
cookingworld:test:52487,N2,1,sup-t0281-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53733,N2,1,sup-t0380-arm_3-r01,environment_done,16,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,16,eat banana,banana,,
cookingworld:test:52430,N2,2,sup-t0197-arm_3-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:54100,N2,1,sup-t0776-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53856,N2,2,sup-t0314-arm_3-r02,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook red apple in barbeque,red apple,grill,fry
cookingworld:test:52659,P,1,sup-t0608-arm_1-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52603,R2,1,sup-t0424-arm_2-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook yellow potato in barbeque,yellow potato,grill,fry
cookingworld:test:52695,N2,1,sup-t0544-arm_3-r01,environment_done,13,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,13,cook carrot in barbeque,carrot,grill,
cookingworld:test:53300,N2,1,sup-t0100-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:54012,P,2,sup-t0688-arm_1-r02,environment_done,17,0,operation_to_ingredient_error,wrong_operation_for_ingredient,17,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:52859,P,1,sup-t0246-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:52155,N2,2,sup-t0517-arm_3-r02,environment_done,5,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,5,eat red hot pepper,red hot pepper,,
cookingworld:test:54095,P,1,sup-t0771-arm_1-r01,environment_done,13,0,operation_to_ingredient_error,wrong_operation_for_ingredient,13,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:53822,P,2,sup-t0589-arm_1-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52594,N2,2,sup-t0116-arm_3-r02,environment_done,14,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,14,eat red apple,red apple,,
cookingworld:test:53734,N2,1,sup-t0171-arm_3-r01,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:53484,R2,2,sup-t0528-arm_2-r02,environment_done,10,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,10,eat block of cheese,block of cheese,,
cookingworld:test:52312,R2,2,sup-t0298-arm_2-r02,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:52802,P,2,sup-t0242-arm_1-r02,environment_done,8,0,operation_to_ingredient_error,wrong_operation_for_ingredient,8,cook red potato in barbeque,red potato,grill,roast
cookingworld:test:52474,N2,1,sup-t0645-arm_3-r01,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook carrot in barbeque,carrot,grill,fry
cookingworld:test:52338,N2,1,sup-t0504-arm_3-r01,environment_done,4,0,operation_to_ingredient_error,wrong_operation_for_ingredient,4,cook purple potato in stove,purple potato,fry,grill
cookingworld:test:53487,P,1,sup-t0036-arm_1-r01,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:54095,P,2,sup-t0771-arm_1-r02,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:52285,R2,1,sup-t0270-arm_2-r01,environment_done,6,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,6,eat red hot pepper,red hot pepper,,
cookingworld:test:52773,N2,1,sup-t0377-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook red onion in barbeque,red onion,grill,roast
cookingworld:test:52264,N2,1,sup-t0387-arm_3-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook carrot in stove,carrot,fry,grill
cookingworld:test:53102,R2,1,sup-t0058-arm_2-r01,environment_done,26,0,operation_to_ingredient_error,wrong_operation_for_ingredient,26,cook purple potato in barbeque,purple potato,grill,roast
cookingworld:test:53579,N2,1,sup-t0140-arm_3-r01,environment_done,12,0,operation_to_ingredient_error,wrong_operation_for_ingredient,12,cook chicken leg in barbeque,chicken leg,grill,roast
cookingworld:test:54001,P,2,sup-t0677-arm_1-r02,environment_done,15,0,operation_to_ingredient_error,wrong_operation_for_ingredient,15,cook orange bell pepper in stove,orange bell pepper,fry,grill
cookingworld:test:52560,R2,1,sup-t0524-arm_2-r01,environment_done,9,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,9,chop red hot pepper,red hot pepper,chop,
cookingworld:test:52639,P,1,sup-t0089-arm_1-r01,environment_done,7,0,operation_to_ingredient_error,wrong_operation_for_ingredient,7,cook pork chop in oven,pork chop,roast,grill
cookingworld:test:53063,N2,2,sup-t0585-arm_3-r02,environment_done,10,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,10,cook yellow bell pepper in barbeque,yellow bell pepper,grill,
cookingworld:test:54018,N2,1,sup-t0694-arm_3-r01,environment_done,11,0,operation_to_ingredient_error,operation_on_nonrequired_or_completed_ingredient,11,cook yellow bell pepper in barbeque,yellow bell pepper,grill,
cookingworld:test:53790,N2,1,sup-t0190-arm_3-r01,environment_done,15,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,15,eat yellow bell pepper,yellow bell pepper,,
cookingworld:test:52707,P,2,sup-t0547-arm_1-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:54016,N2,2,sup-t0692-arm_3-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:52275,R2,1,sup-t0529-arm_2-r01,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook yellow potato in barbeque,yellow potato,grill,roast
cookingworld:test:52170,R2,2,sup-t0119-arm_2-r02,environment_done,10,0,operation_to_ingredient_error,wrong_operation_for_ingredient,10,cook purple potato in oven,purple potato,roast,grill
cookingworld:test:54041,R2,2,sup-t0717-arm_2-r02,environment_done,11,0,operation_to_ingredient_error,wrong_operation_for_ingredient,11,cook pork chop in stove,pork chop,fry,grill
cookingworld:test:53186,N2,1,sup-t0437-arm_3-r01,environment_done,9,0,operation_to_ingredient_error,wrong_operation_for_ingredient,9,cook orange bell pepper in barbeque,orange bell pepper,grill,roast
cookingworld:test:52956,N2,1,sup-t0028-arm_3-r01,environment_done,7,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,7,eat red apple,red apple,,
cookingworld:test:52329,N2,2,sup-t0332-arm_3-r02,environment_done,14,0,operation_to_ingredient_error,wrong_operation_for_ingredient,14,cook yellow bell pepper in stove,yellow bell pepper,fry,grill
cookingworld:test:53722,N2,1,sup-t0512-arm_3-r01,environment_done,9,0,premature_ingredient_consumption,ingredient_eaten_before_meal_completion,9,eat block of cheese,block of cheese,,
